"SID","sensor_name","STID","DID","suggested_range","isActive","UID","sensor_display_name","display_unit","date_added","date_manufactured","CollectionID","StatementTypeID"
183,"Temperature1-1-000000006416e617",1,16,"","true",5,"water_temperature_sensor","","2000-01-01 00:00:00","2000-01-01 00:00:00","1",1
184,"Temperatture2-2222-000000006416e617",1,16,"","true",5,"air_temperature_sensor","","2000-01-01 00:00:00","2000-01-01 00:00:00","1",1
185,"WaterLevel-5555-000000006416e617",3,16,"","true",5,"water_level_sensor","","2000-01-01 00:00:00","2000-01-01 00:00:00","1",1
186,"Temperature1-1-000000002d774009",1,1,"","false",4,"water_temperature_sensor","2109","2016-03-28 23:06:31","2015-03-15 17:02:45","1",1
187,"Temperatture2-2222-000000002d774009",1,1,"","false",4,"air_temperature_sensor","F","2016-03-28 23:06:31","2015-03-15 17:02:45","1",1
188,"WaterLevel-5555-000000002d774009",3,1,"","false",4,"water_level_sensor","","2016-03-28 23:06:32","2015-03-15 17:02:45","1",1
189,"Temperature1-1234-000000006416e618",1,17,"","true",5,"","","2000-01-01 00:00:00","2000-01-01 00:00:00","2",1
190,"Temperature1-2345-2713BBBK9228",1,18,"","true",5,"temperature_sensor","","2000-01-01 00:00:00","2000-01-01 00:00:00","3",1
216,"temperature1-1742384137719387429-3052CB808C23",1,39,"","true",8,"temperature1","F","2016-07-19 20:27:31","2015-03-15 15:21:10","86",1
217,"soil_moisture1-1515494590840635429-3052CB808C23",7,39,"","true",8,"soil_moisture1-1515494590840635429-3052CB808C23","%","2016-07-20 17:00:05","2015-03-15 15:21:10","90",1
218,"weatherApiTemperature-23-D07E35492113",4,28,"","true",8,"weatherApiTemperature-23-D07E35492113","F","2016-07-20 16:21:29","2015-03-15 15:21:10","0",2
219,"weatherApiHumidity-23-D07E35492113",5,28,"","true",8,"weatherApiHumidity-23-D07E35492113","F","2016-07-20 16:21:29","2015-03-15 15:21:10","0",2
220,"weatherApiRain-23-D07E35492113",6,28,"","true",8,"weatherApiRain-23-D07E35492113","F","2016-07-20 16:21:29","2015-03-15 15:21:10","0",2
221,"soil_moisture1-1515494590840635429-3052CB808C27",7,41,"","true",11,"soil_moisture1-1515494590840635429-3052CB808C27","%","2016-07-21 16:10:59","2015-03-15 15:21:10","90",1
222,"temperature1-1742384137719387429-000000002d774009",1,1,"","false",8,"temperature1-1742384137719387429-000000002d774009","F","2016-08-22 20:03:19","2015-03-15 15:21:10","86-1",1
223,"soil_moisture1-1515494590840635429-000000002f19b7a3",7,41,"","true",11,"soil_moisture sensor actual","%","2016-07-26 08:10:07","2015-03-15 15:21:10","90",1
224,"temperature-45342167892345-000000002d774009",1,1,"","false",8,"temperature-45342167892345-000000002d774009","F","2016-08-25 05:15:00","2015-03-15 15:21:10","0",1
225,"soil_moisture1-1515494590840635429-000000002d774009",7,1,"","false",8,"soil_moisture1-1515494590840635429-000000002d774009","","2016-11-27 21:11:58","2015-03-15 15:21:10","90-1",1
226,"ultrasonic-12345678-23456789",8,54,"","true",8,"ultrasonic","","2016-11-27 21:11:58","2016-11-27 21:11:58","0",1
